rank,score,company,role,domain,mx_verified,primary_email,source,linkedin_finder
1,67.1,Bluehost,Java Backend Software Engineer,bluehost.com,✅ YES,careers@bluehost.com,Pattern Matched (bluehost.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Bluehost
2,66.0,Zapcom Group Inc,Senior Java Developer,zapcom.com,❌ NO,Search via LinkedIn,None found,https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Zapcom%20Group%20Inc
3,64.6,IntraEdge,Sr. Java Developer,intraedge.com,✅ YES,careers@intraedge.com,Pattern Matched (intraedge.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20IntraEdge
4,64.4,Synechron,"Java Developer – Core Java, Multithreading, SQL, Database Design & Spring Boot",synechron.com,✅ YES,careers@synechron.com,Pattern Matched (synechron.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Synechron
5,63.8,Bizinso,Java Developer Jobs Mumbai | 2–4 Years Exp | Spring Boot | Bizinso,bizinso.com,✅ YES,careers@bizinso.com,Pattern Matched (bizinso.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Bizinso
6,62.8,People Tech Group Inc,Java Software Engineer,peopletech.com,✅ YES,careers@peopletech.com,Pattern Matched (peopletech.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20People%20Tech%20Group%20Inc
7,62.8,OSTTRA,Associate I Software Engineer,osttra.com,✅ YES,careers@osttra.com,Pattern Matched (osttra.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20OSTTRA
8,62.8,Air India,Engineer - Backend,airindia.com,✅ YES,careers@airindia.com,Pattern Matched (airindia.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Air%20India
9,62.7,Quest Global,Software Engineer,quest-global.com,✅ YES,careers@quest-global.com,Pattern Matched (quest-global.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Quest%20Global
10,62.7,State Street,Lead Java Backend Developer - Senior Manager,statestreet.com,✅ YES,careers@statestreet.com,Pattern Matched (statestreet.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20State%20Street
