rank,score,company,role,domain,mx_verified,primary_email,source,linkedin_finder
1,81.4,Bluehost,Java Backend Software Engineer,bluehost.com,✅ YES,careers@bluehost.com,Pattern Matched (bluehost.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Bluehost
2,78.2,OSTTRA,Associate I Software Engineer,osttra.com,✅ YES,careers@osttra.com,Pattern Matched (osttra.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20OSTTRA
3,78.2,Luxoft India,Senior backend Java developer,luxoft.com,✅ YES,careers@luxoft.com,Pattern Matched (luxoft.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Luxoft%20India
4,77.4,Luxoft,Senior Java Software Engineer,luxoft.com,✅ YES,careers@luxoft.com,Pattern Matched (luxoft.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Luxoft
5,76.9,Luxoft,Senior Java developer,luxoft.com,✅ YES,careers@luxoft.com,Pattern Matched (luxoft.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Luxoft
6,76.1,Corpseed ITES Private Limited.,Java Backend Developer,corpseeditesprivatelimited.com,❌ NO,Search via LinkedIn,None found,https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Corpseed%20ITES%20Private%20Limited.
7,74.7,Air India,Engineer - Backend,airindia.com,✅ YES,careers@airindia.com,Pattern Matched (airindia.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Air%20India
8,74.1,People Tech Group Inc,Java Software Engineer,peopletech.com,✅ YES,careers@peopletech.com,Pattern Matched (peopletech.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20People%20Tech%20Group%20Inc
9,73.9,Synechron,"Java Developer – Core Java, Multithreading, SQL, Database Design & Spring Boot",synechron.com,✅ YES,careers@synechron.com,Pattern Matched (synechron.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Synechron
10,73.5,Zapcom Group Inc,Senior Java Developer,zapcom.com,❌ NO,Search via LinkedIn,None found,https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Zapcom%20Group%20Inc
11,73.3,Quest Global,Software Engineer,quest-global.com,✅ YES,careers@quest-global.com,Pattern Matched (quest-global.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Quest%20Global
12,73.0,IntraEdge,Sr. Java Developer,intraedge.com,✅ YES,careers@intraedge.com,Pattern Matched (intraedge.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20IntraEdge
13,72.5,Soho Square Solutions,Software Engineer,sohosquaresolutions.com,✅ YES,careers@sohosquaresolutions.com,Pattern Matched (sohosquaresolutions.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Soho%20Square%20Solutions
14,72.5,EPAM Systems,Lead Software Engineer - Java,epam.com,✅ YES,careers@epam.com,Pattern Matched (epam.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20EPAM%20Systems
15,72.1,Kuoni Tumlare,Lead Backend Developer,kuonitumlare.com,✅ YES,careers@kuonitumlare.com,Pattern Matched (kuonitumlare.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Kuoni%20Tumlare
