rank,match_score,title,company,location,ats_platform,clean_apply_url,portal_view_url
1,81.4,Java Backend Software Engineer,Bluehost,nan,LinkedIn,https://www.linkedin.com/jobs/view/4442549466,https://www.linkedin.com/jobs/view/4442549466
2,78.2,Associate I Software Engineer,OSTTRA,"HR, IN",Indeed,https://in.indeed.com/viewjob?jk=dd6e7fa97b832d5f,https://in.indeed.com/viewjob?jk=dd6e7fa97b832d5f
3,78.2,Senior backend Java developer,Luxoft India,"Gurugram, Haryana, India",LinkedIn,https://www.linkedin.com/jobs/view/4456331728,https://www.linkedin.com/jobs/view/4456331728
4,77.4,Senior Java Software Engineer,Luxoft,"Gurugram, Haryana, India",LinkedIn,https://www.linkedin.com/jobs/view/4456180689,https://www.linkedin.com/jobs/view/4456180689
5,76.9,Senior Java developer,Luxoft,"Gurugram, Haryana, India",LinkedIn,https://www.linkedin.com/jobs/view/4456311384,https://www.linkedin.com/jobs/view/4456311384
6,76.1,Java Backend Developer,Corpseed ITES Private Limited.,"UP, IN",Indeed,https://in.indeed.com/viewjob?jk=5e1caa7e5c9f3e0c,https://in.indeed.com/viewjob?jk=5e1caa7e5c9f3e0c
7,74.7,Engineer - Backend,Air India,"HR, IN",Indeed,https://in.indeed.com/viewjob?jk=051af9e431f08a7d,https://in.indeed.com/viewjob?jk=051af9e431f08a7d
8,74.1,Java Software Engineer,People Tech Group Inc,"Noida, Uttar Pradesh, India",LinkedIn,https://www.linkedin.com/jobs/view/4456479510,https://www.linkedin.com/jobs/view/4456479510
9,73.9,"Java Developer – Core Java, Multithreading, SQL, Database Design & Spring Boot",Synechron,"Bengaluru East, Karnataka, India",LinkedIn,https://www.linkedin.com/jobs/view/4457457317,https://www.linkedin.com/jobs/view/4457457317
10,73.5,Senior Java Developer,Zapcom Group Inc,"Bengaluru, Karnataka, India",LinkedIn,https://www.linkedin.com/jobs/view/4458877255,https://www.linkedin.com/jobs/view/4458877255
11,73.3,Software Engineer,Quest Global,"Noida, Uttar Pradesh, India",LinkedIn,https://www.linkedin.com/jobs/view/4456465755,https://www.linkedin.com/jobs/view/4456465755
12,73.0,Sr. Java Developer,IntraEdge,"Pune District, Maharashtra, India",LinkedIn,https://www.linkedin.com/jobs/view/4456073880,https://www.linkedin.com/jobs/view/4456073880
13,72.5,Software Engineer,Soho Square Solutions,"Noida, Uttar Pradesh, India",LinkedIn,https://www.linkedin.com/jobs/view/4459222430,https://www.linkedin.com/jobs/view/4459222430
14,72.5,Lead Software Engineer - Java,EPAM Systems,"Gurgaon, Haryana, India",LinkedIn,https://www.linkedin.com/jobs/view/4459585968,https://www.linkedin.com/jobs/view/4459585968
15,72.1,Lead Backend Developer,Kuoni Tumlare,"New Delhi, Delhi, India",LinkedIn,https://www.linkedin.com/jobs/view/4459785027,https://www.linkedin.com/jobs/view/4459785027
16,71.4,Java Developer Jobs Mumbai | 2–4 Years Exp | Spring Boot | Bizinso,Bizinso,"Goregaon, Maharashtra, India",LinkedIn,https://www.linkedin.com/jobs/view/4459575717,https://www.linkedin.com/jobs/view/4459575717
17,71.1,Java Software Engineer,Boutiqaat,"Gurugram, Haryana, India",LinkedIn,https://www.linkedin.com/jobs/view/4456574781,https://www.linkedin.com/jobs/view/4456574781
18,70.0,Lead Java Backend Developer - Senior Manager,State Street,"TS, IN",Indeed,https://in.indeed.com/viewjob?jk=b6c904d54ef176e2,https://in.indeed.com/viewjob?jk=b6c904d54ef176e2
19,69.9,Senior Java Developer,ApplogiQ,"UP, IN",Indeed,https://in.indeed.com/viewjob?jk=16f2db10c5d0b74f,https://in.indeed.com/viewjob?jk=16f2db10c5d0b74f
20,69.2,Java - Senior Engineer,Iris Software Inc.,"Noida, Uttar Pradesh, India",LinkedIn,https://www.linkedin.com/jobs/view/4460326515,https://www.linkedin.com/jobs/view/4460326515
21,68.6,Java Backend Developer | 3–5 Years Experience |,Visa2Fly,"Gurugram, Haryana, India",LinkedIn,https://www.linkedin.com/jobs/view/4458489135,https://www.linkedin.com/jobs/view/4458489135
22,68.2,Senior Software Engineer,HealthKart,"Gurugram, Haryana, India",LinkedIn,https://www.linkedin.com/jobs/view/4457249060,https://www.linkedin.com/jobs/view/4457249060
23,68.1,SDE 2,Ginesys,"Gurgaon, Haryana, India",LinkedIn,https://www.linkedin.com/jobs/view/4459681897,https://www.linkedin.com/jobs/view/4459681897
24,67.6,Software Engineer (Core),Barclays,"MH, IN",Indeed,https://in.indeed.com/viewjob?jk=7f3cd931f06f556d,https://in.indeed.com/viewjob?jk=7f3cd931f06f556d
25,67.1,Senior Java Developer IRC301136,GlobalLogic,"Bengaluru, Karnataka, India",LinkedIn,https://www.linkedin.com/jobs/view/4446052254,https://www.linkedin.com/jobs/view/4446052254
