rank,score,company,role,domain,mx_verified,primary_email,source,linkedin_finder
1,76.9,Citi,Java Developer,citi.com,✅ YES,careers@citi.com,Pattern Matched (citi.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Citi
2,74.6,Citi,Software Engineer – Java Developer,citi.com,✅ YES,careers@citi.com,Pattern Matched (citi.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Citi
3,73.6,Persistent Systems,Java Developer,persistent.com,✅ YES,careers@persistent.com,Pattern Matched (persistent.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Persistent%20Systems
4,73.4,Siemens Energy,Senior Full Stack Developer - Java with AI Expertise,siemensenergy.com,❌ NO,Search via LinkedIn,None found,https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Siemens%20Energy
5,73.1,CGI,SoftWare Engineer – Java Backend API,cgi.com,✅ YES,careers@cgi.com,Pattern Matched (cgi.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20CGI
6,72.8,Synechron,"Java Developer | Microservices, Spring Boot, API Development, Cloud (AWS/Azure), Performance Tuning",synechron.com,✅ YES,careers@synechron.com,Pattern Matched (synechron.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Synechron
7,71.8,Nicoll Curtin,Senior Java Engineer,nicollcurtin.com,❌ NO,Search via LinkedIn,None found,https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Nicoll%20Curtin
8,71.5,PERSOL APAC,Senior Java Full Stack / Microservices Developer – Global Markets & Capital Markets,persolapac.com,✅ YES,careers@persolapac.com,Pattern Matched (persolapac.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20PERSOL%20APAC
9,70.5,Synechron,"Java Developer – Core Java, Multithreading, SQL, Database Design & Spring Boot",synechron.com,✅ YES,careers@synechron.com,Pattern Matched (synechron.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Synechron
10,69.8,HuntingCube,Senior Java Developer (5+ YOE),huntingcube.com,✅ YES,careers@huntingcube.com,Pattern Matched (huntingcube.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20HuntingCube
11,68.9,TINQIN,Senior AI Software engineer,tinqin.com,✅ YES,careers@tinqin.com,Pattern Matched (tinqin.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20TINQIN
12,68.9,"NTT DATA, Inc.",Backend Engineer,nttdata.com,✅ YES,careers@nttdata.com,Pattern Matched (nttdata.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20NTT%20DATA%2C%20Inc.
13,68.3,Macquarie Group,Java Engineer,macquarie.com,✅ YES,careers@macquarie.com,Pattern Matched (macquarie.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Macquarie%20Group
14,68.2,Creospan Private Limited,Java Developer,creospanprivatelimited.com,❌ NO,Search via LinkedIn,None found,https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Creospan%20Private%20Limited
15,68.1,Acuity Analytics,Delivery Lead-Java Full Stack Developer,acuityanalytics.com,✅ YES,careers@acuityanalytics.com,Pattern Matched (acuityanalytics.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Acuity%20Analytics
16,67.7,Clock Edge Technologies Pvt Lt,Senior Java Developer | AI-First Engineering,clockedgelt.com,❌ NO,Search via LinkedIn,None found,https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Clock%20Edge%20Technologies%20Pvt%20Lt
17,67.5,Fx31Labs Private Limited,Full Stack Developer,fx31labsprivatelimited.com,❌ NO,Search via LinkedIn,None found,https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Fx31Labs%20Private%20Limited
18,67.3,IDFC FIRST Bank,Senior Developer,idfcfirstbank.com,✅ YES,careers@idfcfirstbank.com,Pattern Matched (idfcfirstbank.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20IDFC%20FIRST%20Bank
19,67.3,Cognizant,Sr. Java Developer (Hybrid),cognizant.com,✅ YES,careers@cognizant.com,Pattern Matched (cognizant.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Cognizant
20,67.2,BNP Paribas,Senior Java Backend Developer,bnpparibas.com,✅ YES,careers@bnpparibas.com,Pattern Matched (bnpparibas.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20BNP%20Paribas
21,67.2,Vertafore,"Sr. Software Engineer (Java, React, Oracle, AI skills)",vertafore.com,✅ YES,careers@vertafore.com,Pattern Matched (vertafore.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Vertafore
22,66.8,Societe Generale Global Solution Centre,Specialist Software Engineer - Java,societegeneraleglobalsolutioncentre.com,❌ NO,Search via LinkedIn,None found,https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Societe%20Generale%20Global%20Solution%20Centre
23,66.8,Acuity knowledge Partners,Delivery Lead-Java Full Stack Developer,acuityknowledgepartners.com,❌ NO,Search via LinkedIn,None found,https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Acuity%20knowledge%20Partners
24,66.5,Priceline,Java Developer,priceline.com,✅ YES,careers@priceline.com,Pattern Matched (priceline.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Priceline
25,66.4,Iris Software,Java Fullstack - Senior Engineer,irissoftware.com,✅ YES,careers@irissoftware.com,Pattern Matched (irissoftware.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Iris%20Software
