rank,match_score,title,company,location,ats_platform,clean_apply_url,portal_view_url
1,76.9,Java Developer,Citi,"Chennai, Tamil Nadu, India",LinkedIn,https://www.linkedin.com/jobs/view/4466865890,https://www.linkedin.com/jobs/view/4466865890
2,74.6,Software Engineer – Java Developer,Citi,"Pune Division, Maharashtra, India",LinkedIn,https://www.linkedin.com/jobs/view/4466833286,https://www.linkedin.com/jobs/view/4466833286
3,73.6,Java Developer,Persistent Systems,"Hyderabad, Telangana, India",LinkedIn,https://www.linkedin.com/jobs/view/4468375143,https://www.linkedin.com/jobs/view/4468375143
4,73.4,Senior Full Stack Developer - Java with AI Expertise,Siemens Energy,"Gurugram, Haryana, India",LinkedIn,https://www.linkedin.com/jobs/view/4466540596,https://www.linkedin.com/jobs/view/4466540596
5,73.1,SoftWare Engineer – Java Backend API,CGI,"Hyderabad, Telangana, India",LinkedIn,https://www.linkedin.com/jobs/view/4468300284,https://www.linkedin.com/jobs/view/4468300284
6,72.8,"Java Developer | Microservices, Spring Boot, API Development, Cloud (AWS/Azure), Performance Tuning",Synechron,"Pune Division, Maharashtra, India",LinkedIn,https://www.linkedin.com/jobs/view/4467550382,https://www.linkedin.com/jobs/view/4467550382
7,71.8,Senior Java Engineer,Nicoll Curtin,"Federal Territory of Kuala Lumpur, Malaysia",LinkedIn,https://www.linkedin.com/jobs/view/4467195549,https://www.linkedin.com/jobs/view/4467195549
8,71.5,Senior Java Full Stack / Microservices Developer – Global Markets & Capital Markets,PERSOL APAC,"Singapore, Singapore",LinkedIn,https://www.linkedin.com/jobs/view/4466186583,https://www.linkedin.com/jobs/view/4466186583
9,70.5,"Java Developer – Core Java, Multithreading, SQL, Database Design & Spring Boot",Synechron,"Bengaluru East, Karnataka, India",LinkedIn,https://www.linkedin.com/jobs/view/4457457317,https://www.linkedin.com/jobs/view/4457457317
10,69.8,Senior Java Developer (5+ YOE),HuntingCube,"Bengaluru East, Karnataka, India",LinkedIn,https://www.linkedin.com/jobs/view/4468269027,https://www.linkedin.com/jobs/view/4468269027
11,68.9,Senior AI Software engineer,TINQIN,"Sofia City, Bulgaria",LinkedIn,https://www.linkedin.com/jobs/view/4467196165,https://www.linkedin.com/jobs/view/4467196165
12,68.9,Backend Engineer,"NTT DATA, Inc.","Delhi, Delhi, India",LinkedIn,https://www.linkedin.com/jobs/view/4466268629,https://www.linkedin.com/jobs/view/4466268629
13,68.3,Java Engineer,Macquarie Group,"Sydney, New South Wales, Australia",LinkedIn,https://www.linkedin.com/jobs/view/4447390501,https://www.linkedin.com/jobs/view/4447390501
14,68.2,Java Developer,Creospan Private Limited,"Pune City, Maharashtra, India",LinkedIn,https://www.linkedin.com/jobs/view/4466848673,https://www.linkedin.com/jobs/view/4466848673
15,68.1,Delivery Lead-Java Full Stack Developer,Acuity Analytics,"Bengaluru, Karnataka, India",LinkedIn,https://www.linkedin.com/jobs/view/4465996464,https://www.linkedin.com/jobs/view/4465996464
16,67.7,Senior Java Developer | AI-First Engineering,Clock Edge Technologies Pvt Lt,"Remote, IN",Indeed,https://in.indeed.com/viewjob?jk=a370b711ff248833,https://in.indeed.com/viewjob?jk=a370b711ff248833
17,67.5,Full Stack Developer,Fx31Labs Private Limited,"Remote, IN",Indeed,https://in.indeed.com/viewjob?jk=1e1861cfa70d7a99,https://in.indeed.com/viewjob?jk=1e1861cfa70d7a99
18,67.3,Senior Developer,IDFC FIRST Bank,"Chennai, Tamil Nadu, India",LinkedIn,https://www.linkedin.com/jobs/view/4440209895,https://www.linkedin.com/jobs/view/4440209895
19,67.3,Sr. Java Developer (Hybrid),Cognizant,"Toronto, Ontario, Canada",LinkedIn,https://www.linkedin.com/jobs/view/4457993887,https://www.linkedin.com/jobs/view/4457993887
20,67.2,Senior Java Backend Developer,BNP Paribas,"Chennai, Tamil Nadu, India",LinkedIn,https://www.linkedin.com/jobs/view/4400540503,https://www.linkedin.com/jobs/view/4400540503
21,67.2,"Sr. Software Engineer (Java, React, Oracle, AI skills)",Vertafore,"Hyderabad, Telangana, India",LinkedIn,https://www.linkedin.com/jobs/view/4443157482,https://www.linkedin.com/jobs/view/4443157482
22,66.8,Specialist Software Engineer - Java,Societe Generale Global Solution Centre,"Bengaluru, Karnataka, India",LinkedIn,https://www.linkedin.com/jobs/view/4468250314,https://www.linkedin.com/jobs/view/4468250314
23,66.8,Delivery Lead-Java Full Stack Developer,Acuity knowledge Partners,"KA, IN",Indeed,https://in.indeed.com/viewjob?jk=cfbe4266d06b0ff2,https://in.indeed.com/viewjob?jk=cfbe4266d06b0ff2
24,66.5,Java Developer,Priceline,"Toronto, Ontario, Canada",LinkedIn,https://www.linkedin.com/jobs/view/4457658717,https://www.linkedin.com/jobs/view/4457658717
25,66.4,Java Fullstack - Senior Engineer,Iris Software,"UP, IN",Indeed,https://in.indeed.com/viewjob?jk=5ef04bb8d73351ab,https://in.indeed.com/viewjob?jk=5ef04bb8d73351ab
