rank,match_score,title,company,location,ats_platform,clean_apply_url,portal_view_url
1,67.1,Java Backend Software Engineer,Bluehost,nan,LinkedIn,https://www.linkedin.com/jobs/view/4442549466,https://www.linkedin.com/jobs/view/4442549466
2,66.0,Senior Java Developer,Zapcom Group Inc,"Bengaluru, Karnataka, India",LinkedIn,https://www.linkedin.com/jobs/view/4458877255,https://www.linkedin.com/jobs/view/4458877255
3,64.6,Sr. Java Developer,IntraEdge,"Pune District, Maharashtra, India",LinkedIn,https://www.linkedin.com/jobs/view/4456073880,https://www.linkedin.com/jobs/view/4456073880
4,64.4,"Java Developer – Core Java, Multithreading, SQL, Database Design & Spring Boot",Synechron,"Bengaluru East, Karnataka, India",LinkedIn,https://www.linkedin.com/jobs/view/4457457317,https://www.linkedin.com/jobs/view/4457457317
5,63.8,Java Developer Jobs Mumbai | 2–4 Years Exp | Spring Boot | Bizinso,Bizinso,"Goregaon, Maharashtra, India",LinkedIn,https://www.linkedin.com/jobs/view/4459575717,https://www.linkedin.com/jobs/view/4459575717
6,62.8,Java Software Engineer,People Tech Group Inc,"Noida, Uttar Pradesh, India",LinkedIn,https://www.linkedin.com/jobs/view/4456479510,https://www.linkedin.com/jobs/view/4456479510
7,62.8,Associate I Software Engineer,OSTTRA,"HR, IN",Indeed,https://in.indeed.com/viewjob?jk=dd6e7fa97b832d5f,https://in.indeed.com/viewjob?jk=dd6e7fa97b832d5f
8,62.8,Engineer - Backend,Air India,"HR, IN",Indeed,https://in.indeed.com/viewjob?jk=051af9e431f08a7d,https://in.indeed.com/viewjob?jk=051af9e431f08a7d
9,62.7,Software Engineer,Quest Global,"Noida, Uttar Pradesh, India",LinkedIn,https://www.linkedin.com/jobs/view/4456465755,https://www.linkedin.com/jobs/view/4456465755
10,62.7,Lead Java Backend Developer - Senior Manager,State Street,"TS, IN",Indeed,https://in.indeed.com/viewjob?jk=b6c904d54ef176e2,https://in.indeed.com/viewjob?jk=b6c904d54ef176e2
11,62.0,Java Backend Developer,GeekSoft Consulting,"Bengaluru, Karnataka, India",LinkedIn,https://www.linkedin.com/jobs/view/4458958166,https://www.linkedin.com/jobs/view/4458958166
12,62.0,Computer Scientist 2 ( Full Stack ),Adobe,"KA, IN",Indeed,https://in.indeed.com/viewjob?jk=17b2a761a3d67b4a,https://in.indeed.com/viewjob?jk=17b2a761a3d67b4a
13,61.8,Lead Software Engineer - Java,EPAM Systems,"Gurgaon, Haryana, India",LinkedIn,https://www.linkedin.com/jobs/view/4459585968,https://www.linkedin.com/jobs/view/4459585968
14,61.3,Senior backend Java developer,Luxoft India,"Gurugram, Haryana, India",LinkedIn,https://www.linkedin.com/jobs/view/4456331728,https://www.linkedin.com/jobs/view/4456331728
15,61.3,Senior Java developer,Luxoft,"Noida, Uttar Pradesh, India",LinkedIn,https://www.linkedin.com/jobs/view/4456306438,https://www.linkedin.com/jobs/view/4456306438
16,61.3,Senior Java developer,Luxoft,"Gurugram, Haryana, India",LinkedIn,https://www.linkedin.com/jobs/view/4456311384,https://www.linkedin.com/jobs/view/4456311384
17,61.1,Lead Software Engineer - Java,EPAM Systems,"Hyderabad, Telangana, India",LinkedIn,https://www.linkedin.com/jobs/view/4459905147,https://www.linkedin.com/jobs/view/4459905147
18,60.7,Java MS,Virtusa,"Pune Division, Maharashtra, India",LinkedIn,https://www.linkedin.com/jobs/view/4436692038,https://www.linkedin.com/jobs/view/4436692038
19,60.6,"Walk In|| Java ,Spring Boot Developer +AWS",Tata Consultancy Services,"Chennai, Tamil Nadu, India",LinkedIn,https://www.linkedin.com/jobs/view/4459771907,https://www.linkedin.com/jobs/view/4459771907
20,60.5,Java Software Engineer,Recro,"Bengaluru, Karnataka, India",LinkedIn,https://www.linkedin.com/jobs/view/4457972729,https://www.linkedin.com/jobs/view/4457972729
21,60.3,Senior Java Software Engineer,Luxoft,"Gurugram, Haryana, India",LinkedIn,https://www.linkedin.com/jobs/view/4456180689,https://www.linkedin.com/jobs/view/4456180689
22,59.5,Java Software Engineer,Quest Global,"Hyderabad, Telangana, India",LinkedIn,https://www.linkedin.com/jobs/view/4456477501,https://www.linkedin.com/jobs/view/4456477501
23,59.5,Senior Java Developer,ApplogiQ,"UP, IN",Indeed,https://in.indeed.com/viewjob?jk=16f2db10c5d0b74f,https://in.indeed.com/viewjob?jk=16f2db10c5d0b74f
24,59.4,Java Software Engineer,Boutiqaat,"Gurugram, Haryana, India",LinkedIn,https://www.linkedin.com/jobs/view/4456574781,https://www.linkedin.com/jobs/view/4456574781
25,59.4,"Lead I - Software Engineering-java,spring boot,kafka,microservices,",UST,"Trivandrum, Kerala, India",LinkedIn,https://www.linkedin.com/jobs/view/4363011620,https://www.linkedin.com/jobs/view/4363011620
